event_id,event_type,impact,scheduled_time,available_time,actual,forecast,previous,affected_symbols
US_NFP:2023-01-06,US_NFP,high,2023-01-06T12:30:00+00:00,2022-03-12T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-02-01,FOMC_RATE,high,2023-02-01T18:00:00+00:00,2022-04-07T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-02-03,US_NFP,high,2023-02-03T12:30:00+00:00,2022-04-09T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-03-03,US_NFP,high,2023-03-03T12:30:00+00:00,2022-05-07T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-03-22,FOMC_RATE,high,2023-03-22T18:00:00+00:00,2022-05-26T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-04-07,US_NFP,high,2023-04-07T12:30:00+00:00,2022-06-11T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-05-03,FOMC_RATE,high,2023-05-03T18:00:00+00:00,2022-07-07T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-05-05,US_NFP,high,2023-05-05T12:30:00+00:00,2022-07-09T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-06-02,US_NFP,high,2023-06-02T12:30:00+00:00,2022-08-06T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-06-14,FOMC_RATE,high,2023-06-14T18:00:00+00:00,2022-08-18T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-07-07,US_NFP,high,2023-07-07T12:30:00+00:00,2022-09-10T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-07-26,FOMC_RATE,high,2023-07-26T18:00:00+00:00,2022-09-29T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-08-04,US_NFP,high,2023-08-04T12:30:00+00:00,2022-10-08T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-09-01,US_NFP,high,2023-09-01T12:30:00+00:00,2022-11-05T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-09-20,FOMC_RATE,high,2023-09-20T18:00:00+00:00,2022-11-24T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-10-06,US_NFP,high,2023-10-06T12:30:00+00:00,2022-12-10T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-11-01,FOMC_RATE,high,2023-11-01T18:00:00+00:00,2023-01-05T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-11-03,US_NFP,high,2023-11-03T12:30:00+00:00,2023-01-07T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2023-12-01,US_NFP,high,2023-12-01T12:30:00+00:00,2023-02-04T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2023-12-13,FOMC_RATE,high,2023-12-13T18:00:00+00:00,2023-02-16T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-01-05,US_NFP,high,2024-01-05T12:30:00+00:00,2023-03-11T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-01-31,FOMC_RATE,high,2024-01-31T18:00:00+00:00,2023-04-06T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-02-02,US_NFP,high,2024-02-02T12:30:00+00:00,2023-04-08T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
